Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path;I1040;I1085;I1100;I1195;I1120;I1130;I1200;I1245;I1256;I1265;I1280;I1285;I1288;I1290;I1295;I1305;I1310;I1350;I1400;I2295;I2296;I2297
CONSTRUCCIÓN;ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.;2018;S2;2019025736;4795;<repositoryPath>/2019025736.xbrl;13326805000;20968553000;34295358000;6055705000;8456039000;19783614000;34295358000;;;;;;;;;;;;;53;31;22
CONSTRUCCIÓN;COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.;2018;S1;2018111652;3100;<repositoryPath>/2018111652.xbrl;66395000;20496000;86891000;18557000;19887000;48447000;86891000;544000;-310000;186000;50000;;50000;0.00;;50000;;;50000;23;13;10
CONSTRUCCIÓN;COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.;2018;S2;2019026691;326;<repositoryPath>/2019026691.xbrl;64945000;18110000;83055000;17911000;20449000;44695000;83055000;;;;;;;;;;;;;23;13;10
CONSTRUCCIÓN;FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.;2018;S1;2018094656;2927;<repositoryPath>/2018094656.xbrl;6753237000;3567983000;10321220000;833929000;6333464000;3153827000;10321220000;237654000;-65303000;204489000;155246000;;155246000;0.40;0.40;155246000;-306000;18762000;173702000;24478;18855;5623
CONSTRUCCIÓN;FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.;2018;S2;2019025070;193;<repositoryPath>/2019025070.xbrl;6607207000;3916834000;10524041000;1958775000;5574710000;2990556000;10524041000;;;;;;;;;;;;;25011;19314;5697
CONSTRUCCIÓN;GRUPO EZENTIS, S.A.;2018;S1;2018106269;3624;<repositoryPath>/2018106269.xbrl;136982936;207013427;343996363;54355236;122597354;167043773;343996363;6724271;-10488501;-3764230;796937;0;796937;0.00;0.00;796937;-813548;0;-16611;21;14;7
CONSTRUCCIÓN;GRUPO EZENTIS, S.A.;2018;S2;2019026869;8206;<repositoryPath>/2019026869.xbrl;129204000;190956000;320160000;33468000;111766000;174926000;320160000;;;;;;;;;;;;;22;15;7
CONSTRUCCIÓN;OBRASCON HUARTE LAIN, S.A.;2018;S1;2018110807;6321;<repositoryPath>/2018110807.xbrl;1468164000;3214925000;4683089000;1425206000;911148000;2346735000;4683089000;-132951000;-185559000;-389550000;-388118000;-386580000;-774698000;-2.95;-2.95;-774698000;0;1318368000;543670000;4889;4364;525
CONSTRUCCIÓN;OBRASCON HUARTE LAIN, S.A.;2018;S2;2019025877;3927;<repositoryPath>/2019025877.xbrl;1311191000;2839712000;4150903000;833169000;888861000;2428873000;4150903000;;;;;;;;;;;;;5804;5088;716
INMOBILIARIAS;AYCO GRUPO INMOBILIARIO, S.A.;2018;S1;2018103286;2194;<repositoryPath>/2018103286.xbrl;15364725;19511232;34875957;10697041;1512531;22666385;34875957;-107739;-105658;-213397;-213397;;-213397;0;0;-213397;;;-213397;3;2;1
INMOBILIARIAS;AYCO GRUPO INMOBILIARIO, S.A.;2018;S2;2019026745;3900;<repositoryPath>/2019026745.xbrl;15880000;17885000;33765000;8501000;3343000;21921000;33765000;;;;;;;;;;;;;3;2;1
